,Infected_data,Recovered_data,Death_data,Susceptible,Infected,Recovered
1/22/20,0,0,0,150000.0,3.0,10.0
1/23/20,0,0,0,149999.59415128012,3.2941216259771506,10.111727093898406
1/24/20,0,0,0,149999.148514286,3.6170777658428745,10.234407948123387
1/25/20,0,0,0,149998.65899489913,3.9718352598186293,10.369169841033635
1/26/20,0,0,0,149998.12144771143,4.36139821042418,10.517154078116747
1/27/20,0,0,0,149997.5314473492,4.788973668594835,10.67957898219004
1/28/20,0,0,0,149996.8839150886,5.258242081780902,10.857842829598676
1/29/20,0,0,0,149996.1731188558,5.7733572939476865,11.053523850215656
1/30/20,1,0,0,149995.39267322698,6.338946545575492,11.268380227441837
1/31/20,1,0,0,149994.53553942812,6.960110473659622,11.504350098205913
2/1/20,1,0,0,149993.5940253353,7.642423111710375,11.76355155296443
2/2/20,2,0,0,149992.55978547453,8.391931889753053,12.04828263570177
2/3/20,3,0,0,149991.42382102172,9.215157634327948,12.361021343930172
2/4/20,3,0,0,149990.1764798028,10.119094568490357,12.704425628689712
2/5/20,3,0,0,149988.80724997685,11.111359554017826,13.081390469122782
2/6/20,3,0,0,149987.30245441297,12.20186020201977,13.49568538497925
2/7/20,3,0,0,149985.65026151703,13.399171059782852,13.95056742316417
2/8/20,3,0,0,149983.83786155024,14.712576099806782,14.449562349940791
2/9/20,3,0,0,149981.8501597537,16.15301402157294,14.996826224709194
2/10/20,3,0,0,149979.66977634843,17.733078251544363,15.597145400006287
2/11/20,3,0,0,149977.2770465353,19.467016943165767,16.255936521505806
2/12/20,3,0,0,149974.6500204951,21.3707329768635,16.97924652801831
2/13/20,3,0,0,149971.76446338845,23.461783960045615,17.773752651491197
2/14/20,3,0,0,149968.59385535587,25.759382227101796,18.646762417008674
2/15/20,3,0,0,149965.1093915178,28.28439483940341,19.6062136427918
2/16/20,0,3,0,149961.27998197448,31.05934358530348,20.66067444019844
2/17/20,0,3,0,149957.07225180612,34.1084049801367,21.8193432137233
2/18/20,0,3,0,149952.45054107276,37.4574102662194,23.092048660997904
2/19/20,0,3,0,149947.37690481433,41.13384541284963,24.489249772790608
2/20/20,0,3,0,149941.8109914453,45.16693857828038,26.02206997641929
2/21/20,0,3,0,149935.6959928738,49.597772015930715,27.706235110241725
2/22/20,0,3,0,149928.9798235996,54.464072068362476,29.556104332032547
2/23/20,0,3,0,149921.6131611454,59.80161087776081,31.58522797681847
2/24/20,0,3,0,149913.53685710393,65.65325728918364,33.80988560686662
2/25/20,0,3,0,149904.68193713774,72.06897685056165,36.24908601168453
2/26/20,0,3,0,149894.96960097927,79.10583181269831,38.924567208020164
2/27/20,0,3,0,149884.31122243084,86.82798112926986,41.8607964398619
2/28/20,0,3,0,149872.60834936472,95.30668045682529,45.084970178438525
2/29/20,0,3,0,149859.75270372297,104.62028215478638,48.62701412221923
3/1/20,0,3,0,149845.6261815176,114.85423528544766,52.51958319691364
3/2/20,2,3,0,149830.10085283054,126.1010856139765,56.79806155547183
3/3/20,2,3,0,149813.0389618135,138.4604756084129,61.5005625780842
3/4/20,25,3,0,149794.29292668813,152.03914443966983,66.66792887218165
3/5/20,27,3,0,149773.70533974603,166.9509279815328,72.34373227243546
3/6/20,28,3,0,149751.10896734855,183.31675881066028,78.57427384075733
3/7/20,31,3,0,149726.3267499271,201.26466620658343,85.40858386629935
3/8/20,36,3,0,149699.13733989678,220.95388755605657,92.90877254714572
3/9/20,40,3,0,149669.2769568751,242.5741551011908,101.14888802368299
3/10/20,52,4,0,149636.5277636819,266.2839965364473,110.18823978163998
3/11/20,57,4,1,149600.63235987275,292.27018055951356,120.09745956771624
3/12/20,68,4,1,149561.29112975,320.7495654881692,130.9593047618153
3/13/20,76,4,2,149518.16224236265,351.96909926028604,142.86865837704454
3/14/20,96,4,2,149470.86165150645,386.2058194338283,155.93252905971536
3/15/20,98,13,2,149418.9630957238,423.76685318685236,170.2700510893431
3/16/20,104,13,2,149361.99809830383,464.9894173175066,186.01248437864706
3/17/20,125,14,3,149299.4559672824,510.2408182440318,203.30321447355044
3/18/20,139,14,3,149230.78379544205,559.9184520047611,222.2977525531805
3/19/20,175,15,4,149155.386460312,614.4498042581196,243.1637354298682
3/20/20,219,20,5,149072.62662416822,674.2924502826247,266.08092554914873
3/21/20,303,23,4,148981.82473403335,739.9340549768863,291.2412109897611
3/22/20,362,27,7,148882.25902167673,811.892372859606,318.84860546364825
3/23/20,462,27,10,148773.16550361447,890.7152480695781,349.1192483159571
3/24/20,486,40,10,148653.72469243125,976.9869295017869,382.28837806694304
3/25/20,602,43,12,148522.9063425503,1071.4151823000389,418.67847514965314
3/26/20,662,45,20,148379.66661700085,1174.7584574388611,458.57492556026875
3/27/20,794,73,20,148222.87250960807,1287.8444752231471,502.2830151687683
3/28/20,879,84,24,148051.25584946928,1411.5894420800214,550.1547084506718
3/29/20,902,95,27,147863.4133009541,1546.9980505588383,602.5886484870407
3/30/20,1117,102,32,147657.80636370432,1695.1634793311832,660.0301569644784
3/31/20,1239,123,35,147432.76137263398,1857.267393190872,722.9712341751292
4/1/20,1792,148,58,147186.46949792936,2034.579943053951,791.9505590166797
4/2/20,2280,191,72,146916.98674504893,2228.459765958697,867.5534889923574
4/3/20,2303,192,72,146622.23395472343,2440.3539850656175,950.4120602109322
4/4/20,2767,229,86,146299.9968029558,2671.79820965745,1041.2049873867143
4/5/20,3260,229,99,145947.92580102125,2924.4165351391644,1140.6576638395568
4/6/20,4267,375,136,145563.53629546717,3199.921543037959,1249.5421614948532
4/7/20,4740,421,150,145144.20846811318,3500.1143010032624,1368.6772308835396
4/8/20,5232,506,178,144687.18733605114,3826.884362806736,1498.928301142093
4/9/20,5879,620,226,144189.58275164518,4182.209768342271,1641.207480012532
4/10/20,6578,774,246,143649.21447738222,4567.334178925644,1796.4513436921186
4/11/20,7189,969,288,143063.27272318982,4983.951124328904,1965.7761524812609
4/12/20,7794,1080,331,142426.89931896128,5435.596880135718,2150.503800902985
4/13/20,8914,1181,358,141735.3452744942,5925.624411666466,2352.0303138392946
4/14/20,9735,1359,393,140983.9960510135,6457.179321544525,2571.8246274419357
4/15/20,10485,1432,405,140168.3715611713,7033.1998496962715,2811.428589132397
4/16/20,11214,1768,448,139284.126169047,7656.416873351074,3072.4569576019094
4/17/20,11825,2041,486,138327.04869014723,8329.353907041299,3356.597402811446
4/18/20,12738,2463,521,137293.06239140595,9054.32710260231,3665.610505991723
4/19/20,14202,2854,559,136178.2249911843,9833.445249172466,4001.329759643197
4/20/20,14674,3273,592,134978.72865927077,10668.609773193126,4365.66156753607
4/21/20,15460,3975,645,133690.90001688106,11561.514738408638,4760.5852447102825
4/22/20,16319,4370,681,132311.2001366581,12513.646845866355,5188.153017475523
4/23/20,17344,5012,721,130836.22454267215,13526.285433916619,5650.490023411213
4/24/20,18252,5498,780,129262.70321042069,14600.50247821277,6149.794311366528
4/25/20,19519,5939,825,127587.50056682846,15737.162591711152,6688.336841460379
4/26/20,20486,6523,881,125807.61549024747,16936.923024671094,7268.461485081418
4/27/20,21375,7137,939,123921.31175612831,18200.230888121227,7891.457355750443
4/28/20,22569,7747,1008,121928.3672339115,19525.799495072777,8558.833271015705
4/29/20,23546,8437,1079,119828.45462947339,20910.867606709857,9273.677763816726
4/30/20,24641,9068,1154,117622.25132055263,22351.99873513736,10038.74994430999
5/1/20,26027,10007,1223,115311.445377478,23845.08313294862,10856.471489573354
5/2/20,27557,10819,1323,112898.73556316848,25385.337793225437,11728.926643606053
5/3/20,29339,11775,1391,110387.83133313323,26967.306449538046,12657.862217328697
5/4/20,32024,12847,1566,107783.45283547157,28584.859575945135,13644.687588583261
5/5/20,33565,14142,1693,105091.33091087302,30231.194386993833,14690.474702133113
5/6/20,35871,15331,1785,102318.20709261726,31898.834837719733,15795.95806966298
5/7/20,37686,16776,1889,99471.83360657413,33579.631623646856,16961.53476977897
5/8/20,39823,17887,1985,96560.9733712037,35264.7621807877,18187.264448008573
5/9/20,41406,19301,2101,93595.39999755615,36944.73068564317,19472.869316800636
5/10/20,43980,20969,2212,90585.8977892719,38609.368055202656,20817.734155525406
5/11/20,45925,22549,2294,87544.2617425815,40247.831946943974,22220.906310474486
5/12/20,47457,24420,2415,84483.29754630566,41848.60675883342,23681.095694860855
5/13/20,49104,26400,2551,81416.82158185539,43399.503629325685,25196.674788818877
5/14/20,51379,27969,2649,78359.66092323168,44887.66043736395,26765.678639404294
5/15/20,52773,30258,2753,75327.6533370259,46299.54180237984,28385.804860594195
5/16/20,53553,34224,2871,72337.63825959826,47620.94638472582,30054.415355675897
05/17/20,,,,69398.70071998594,48844.69761688011,31769.60166313393
05/18/20,,,,66514.24632346143,49970.5635377393,33528.190138799255
05/19/20,,,,63691.4329764157,50995.819708778195,35325.74731480608
05/20/20,,,,60936.7262243645,51918.3135071407,37157.960268494775
05/21/20,,,,58255.89925194828,52736.46412563983,39020.63662241187
05/22/20,,,,55654.03288293224,53449.26257275767,40909.704544310065
05/23/20,,,,53135.51558020631,54056.27167264542,42821.212747148245
05/24/20,,,,50704.04344578518,54557.62606512335,44751.33048909144
05/25/20,,,,48362.62022080827,54954.032205680865,46696.34757351084
05/26/20,,,,46113.55728553972,55246.76836547643,48652.674348983826
05/27/20,,,,43958.47365936842,55437.684631337615,50616.841709293934
05/28/20,,,,41898.29600080801,55529.2029057611,52585.501093430874
05/29/20,,,,39933.25860749685,55524.31690691263,54555.4244855905
05/30/20,,,,38062.90341619806,55426.592168627074,56523.50441517486
05/31/20,,,,36286.08000279946,55240.16604040839,58486.75395679215
06/01/20,,,,34600.945582313645,54969.74768742961,60442.306730256736
06/02/20,,,,33004.965008877945,54620.61809053289,62387.416900589174
06/03/20,,,,31494.910775754397,54198.63004622946,64319.45917801615
06/04/20,,,,30066.86301532983,53710.20816669966,66235.92881797053
06/05/20,,,,28716.245173489595,53162.327063877914,68134.42776263248
06/06/20,,,,27441.816379024876,52559.796350008975,70011.38727096614
06/07/20,,,,26241.085660054272,51907.327510335876,71864.58682960983
06/08/20,,,,25109.170289278012,51210.766131208926,73693.06357951305
06/09/20,,,,24041.471434165927,50475.61500309153,75495.91356274253
06/10/20,,,,23033.674156957433,49707.03412056019,77272.29172248236
06/11/20,,,,22081.747414661553,48909.84068230452,79021.4119030339
06/12/20,,,,21181.944059056903,48088.50909112724,80742.54684981584
06/13/20,,,,20330.800836691695,47247.17095394418,82435.02820936411
06/14/20,,,,19525.138388883744,46389.61508178425,84098.246529332
06/15/20,,,,18762.061251720446,45519.287489789494,85731.65125849005
06/16/20,,,,18038.957856058812,44639.291397215035,87334.75074672615
06/17/20,,,,17353.500527525444,43752.38722742912,88907.11224504543
06/18/20,,,,16703.645486516536,42860.99260791308,90448.36190557036
06/19/20,,,,16087.632848197889,41967.18237026136,91958.18478154074
06/20/20,,,,15503.986622504877,41072.68855018153,93436.32482731358
06/21/20,,,,14951.514714142508,40178.90038749423,94882.58489836326
06/22/20,,,,14429.30892258535,39286.8643261332,96296.82675128142
06/23/20,,,,13936.744942077597,38397.28401414534,97678.97104377706
06/24/20,,,,13473.482361633021,37510.52030369059,99028.99733467639
06/25/20,,,,13039.464665034986,36626.59125104202,100346.94408392298
06/26/20,,,,12634.919230836489,35745.17211658581,101632.9086525777
06/27/20,,,,12256.782209455652,34869.095510364794,102887.12228017955
06/28/20,,,,11898.89475561452,34004.01022251179,104110.09502187368
06/29/20,,,,11560.02296851648,33150.617997401365,105302.35903408215
06/30/20,,,,11239.054061603445,32309.501422159752,106464.44451623679
07/01/20,,,,10934.925603610402,31481.19397820482,107596.88041818477
07/02/20,,,,10646.625518565403,30666.180041246065,108700.19444018853
07/03/20,,,,10373.192085789573,29864.894881284592,109774.91303292582
07/04/20,,,,10113.713939897109,29077.724662613153,110821.56139748973
07/05/20,,,,9867.330070795277,28305.006443816106,111840.6634853886
07/06/20,,,,9633.229823684414,27547.028177769454,112832.74199854612
07/07/20,,,,9410.652899057928,26804.028711640807,113798.31838930125
07/08/20,,,,9198.8893527023,26076.197786889417,114737.91286040828
07/09/20,,,,8997.279595697073,25363.676039266145,115652.04436503677
07/10/20,,,,8805.214394414874,24666.55499881349,116541.23060677163
07/11/20,,,,8622.134870521388,23984.87708986557,117405.98803961302
07/12/20,,,,8447.53250097538,23318.635631048142,118246.83186797646
07/13/20,,,,8280.949118028682,22667.774835278564,119064.27604669273
07/14/20,,,,8121.976909226192,22032.189809765834,119858.83328100794
07/15/20,,,,7970.258417405889,21411.726556010584,120631.0150265835
07/16/20,,,,7825.486540698815,20806.181969805053,121381.3314894961
07/17/20,,,,7687.404532529084,20215.303841233126,122110.29162623775
07/18/20,,,,7555.806001613881,19638.79085467029,122818.4031437158
07/19/20,,,,7430.534911963462,19076.292588783675,123506.17249925282
07/20/20,,,,7311.187045272992,18527.60126501487,124174.21168971213
07/21/20,,,,7196.838396467536,17992.885439919344,124823.2761636131
07/22/20,,,,7087.275113628598,17471.91220096614,125453.81268540525
07/23/20,,,,6982.328448224121,16964.42440746298,126066.24714431289
07/24/20,,,,6881.8322284820215,16470.166598130592,126661.00117338737
07/25/20,,,,6785.622859390191,15988.884991102746,127238.49214950706
07/26/20,,,,6693.539322696487,15520.327483926207,127799.13319337729
07/27/20,,,,6605.423176908747,15064.243653560761,128343.33316953048
07/28/20,,,,6521.118557294777,14620.384756379215,128871.496686326
07/29/20,,,,6440.472175882354,14188.503728167381,129384.02409595026
07/30/20,,,,6363.333321459232,13768.355184124099,129881.31149441666
07/31/20,,,,6289.553859573135,13359.695418861218,130363.75072156564
08/01/20,,,,6218.988232531758,12962.282406403603,130831.72936106463
08/02/20,,,,6151.493459402771,12575.87580018914,131285.6307404081
08/03/20,,,,6086.929136013816,12200.236933068722,131725.83393091746
08/04/20,,,,6025.157434952505,11835.128817306264,132152.71374774122
08/05/20,,,,5966.0431055664285,11480.316144578697,132566.64074985485
08/06/20,,,,5909.453473963143,11135.565285975967,132967.98124006088
08/07/20,,,,5855.25844301018,10800.644292001029,133357.09726498878
08/08/20,,,,5803.330492335043,10475.322892569864,133734.34661509507
08/09/20,,,,5753.544678325212,10159.372497011467,134100.08282466332
08/10/20,,,,5705.7786341281335,9852.566194067846,134454.655171804
08/11/20,,,,5659.912569651229,9554.678751894022,134798.40867845473
08/12/20,,,,5615.8292715618945,9265.48661805804,135131.68411038007
08/13/20,,,,5573.414103287495,8984.767919540947,135454.81797717154
08/14/20,,,,5532.555005015371,8712.302462736825,135768.1425322478
08/15/20,,,,5493.142493692832,8447.871733452756,136071.9857728544
08/16/20,,,,5455.069663027165,8191.258896908845,136366.67144006398
08/17/20,,,,5418.232183485625,7942.248797738215,136652.51901877613
08/18/20,,,,5382.528302295441,7700.627959986994,136929.84373771754
08/19/20,,,,5347.858843443815,7466.184587114336,137198.95656944183
08/20/20,,,,5314.178568636589,7238.703417482786,137460.11801388062
08/21/20,,,,5281.688286529923,7017.956334489107,137713.35537898098
08/22/20,,,,5250.378934151844,6803.753852660152,137958.867213188
08/23/20,,,,5220.203207039177,6595.91521171075,138196.88158125008
08/24/20,,,,5191.115687042441,6394.26344443378,138427.62086852378
08/25/20,,,,5163.072842325848,6198.625376700178,138651.30178097397
08/26/20,,,,5136.0330273673035,6008.831627458929,138868.13534517377
08/27/20,,,,5109.956482958404,5824.716608737069,139078.32690830453
08/28/20,,,,5084.80533620444,5646.118525639689,139282.07613815586
